Name,Year,Rating
8½,1963,5
Black Widow,2021,1.5
The Seventh Seal,1957,5
Death Proof,2007,4
Knives Out,2019,3
Inception,2010,3
The Dark Knight,2008,3.5
Interstellar,2014,3
Dunkirk,2017,3.5
Memento,2000,4
Tenet,2020,2.5
Following,1998,2.5
Insomnia,2002,3
The Prestige,2006,4
Pulp Fiction,1994,5
Django Unchained,2012,4
Reservoir Dogs,1992,4.5
Inglourious Basterds,2009,4.5
The Hateful Eight,2015,4.5
Jackie Brown,1997,4.5
The Elephant Man,1980,4.5
Twin Peaks: Fire Walk with Me,1992,4
Twin Peaks: The Return,2017,5
Dune,1984,3
The Making of ‘Mulholland Drive’,2004,4.5
Blue Velvet,1986,4.5
Mulholland Drive,2001,4.5
Eraserhead,1977,5
Lost Highway,1997,5
Wild at Heart,1990,4
Inland Empire,2006,4.5
The Straight Story,1999,4
Annie Hall,1977,5
Manhattan,1979,5
Hannah and Her Sisters,1986,5
Crimes and Misdemeanors,1989,5
Midnight in Paris,2011,3.5
Blue Jasmine,2013,3.5
Vicky Cristina Barcelona,2008,3
Match Point,2005,4.5
The Purple Rose of Cairo,1985,3
To Rome with Love,2012,1.5
Zelig,1983,4
Manhattan Murder Mystery,1993,5
Sleeper,1973,5
Scoop,2006,2.5
Whatever Works,2009,4.5
Deconstructing Harry,1997,4.5
Radio Days,1987,4
Husbands and Wives,1992,3.5
Stardust Memories,1980,2.5
Bananas,1971,4.5
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,4.5
Broadway Danny Rose,1984,4
Bullets Over Broadway,1994,4
Interiors,1978,3
Everyone Says I Love You,1996,3.5
Take the Money and Run,1969,4.5
Mighty Aphrodite,1995,3
Sweet and Lowdown,1999,3.5
You Will Meet a Tall Dark Stranger,2010,3
Celebrity,1998,2.5
Small Time Crooks,2000,4
Cassandra's Dream,2007,3.5
Anything Else,2003,3
Another Woman,1988,2.5
The Curse of the Jade Scorpion,2001,3.5
Shadows and Fog,1991,4
A Midsummer Night's Sex Comedy,1982,3
Melinda and Melinda,2004,3
Alice,1990,3.5
Hollywood Ending,2002,3
Rifkin's Festival,2020,3
September,1987,3
Her,2013,4
Marriage Story,2019,3.5
Jojo Rabbit,2019,4
Lost in Translation,2003,4
Under the Skin,2013,3.5
No Country for Old Men,2007,5
The Big Lebowski,1998,5
The Believer,2001,5
District 9,2009,4.5
The Prince of Egypt,1998,4
The Shining,1980,5
2001: A Space Odyssey,1968,5
A Clockwork Orange,1971,5
Full Metal Jacket,1987,5
Eyes Wide Shut,1999,4.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4.5
Barry Lyndon,1975,4.5
Paths of Glory,1957,5
Lolita,1962,4.5
The Killing,1956,5
Spartacus,1960,4.5
Killer's Kiss,1955,4
Fear and Desire,1953,3
Snowpiercer,2013,4.5
Parasite,2019,4
Gladiator,2000,4.5
Once Upon a Time… in Hollywood,2019,4.5
Kill Bill: Vol. 1,2003,4.5
Kill Bill: Vol. 2,2004,4.5
Locke,2013,3
Moon,2009,4.5
Papillon,1973,4.5
Mr. Nobody,2009,4
The Truman Show,1998,5
Blade Runner 2049,2017,3.5
Blade Runner,1982,5
Drive,2011,4.5
The Neon Demon,2016,4.5
Pusher,1996,3
The Lighthouse,2019,5
How the Grinch Stole Christmas,2000,4
Call Me by Your Name,2017,3
The Matrix,1999,4
Bohemian Rhapsody,2018,1.5
The Exorcist,1973,5
One Flew Over the Cuckoo's Nest,1975,5
Mediterraneo,1991,3.5
Stargate,1994,4
The Fly,1986,5
Videodrome,1983,5
Dead Ringers,1988,4.5
A History of Violence,2005,4.5
Eastern Promises,2007,4.5
Crash,1996,4.5
Scanners,1981,4.5
Naked Lunch,1991,4.5
eXistenZ,1999,5
The Brood,1979,4.5
The Dead Zone,1983,4
Cosmopolis,2012,4
A Dangerous Method,2011,3.5
